#{"t_start": 1756147829.2821352, "env_id": "None"}
r,l,t
-87.085594,18,1018.238916
-101.654326,22,1020.888309
-93.06838,20,1023.328926
-79.331961,17,1025.682989
-92.748239,16,1027.741925
-99.276932,17,1029.96998
-93.783863,15,1033.177108
-91.558703,19,1035.990244
-91.824986,17,1038.372749
-93.650161,19,1040.819228
-94.94515,15,1042.832498
-97.466663,20,1045.587189
-84.092309,20,1048.300239
-107.212429,14,1050.391235
-113.430031,12,1052.778655
-109.566723,18,1055.190816
-92.312675,21,1058.044423
-105.4888,13,1059.842741
-81.587097,24,1062.563743
-100.217666,14,1064.399924
-104.999021,13,1066.184621
-110.003239,17,1068.509891
-94.448391,15,1071.825068
-96.111833,17,1074.392085
-89.886652,16,1076.659894
-93.440199,15,1078.74795
-96.131731,17,1081.067257
-97.01468,16,1083.144697
-109.097814,13,1084.786843
-106.172396,18,1087.134161
-110.619468,13,1088.83175
-87.666274,20,1091.601061
-111.669497,19,1093.915818
-85.650299,17,1096.522949
-87.381961,20,1099.086813
-117.006389,11,1103.059082
-99.302407,15,1106.105623
-92.667278,18,1108.4226
-80.311222,21,1111.512709
-109.892508,12,1113.216785
-96.395923,22,1115.956906
-95.610059,16,1118.341822
-101.336742,20,1121.022851
-95.56079,23,1123.992766
-100.15761,17,1126.207884
-99.266313,14,1128.320285
-101.73323,14,1130.515872
-95.408722,17,1133.016431
-91.397405,13,1135.084194
-111.521002,15,1137.117594
-101.047726,15,1140.08092
-94.442264,16,1142.339065
-106.452065,14,1144.325737
-106.821377,14,1146.240947
-106.661718,12,1148.037425
-102.038153,15,1150.316796
-86.399018,20,1153.056825
-100.480781,18,1155.651605
-96.088432,15,1157.675352
-90.42276,20,1160.237267
-89.374288,19,1162.782504
-101.782475,16,1164.988336
-100.606009,19,1167.407825
-75.381533,26,1170.589391
-81.582788,18,1173.218153
-103.860049,14,1176.895065
-86.797668,18,1179.56742
-111.386174,12,1182.120291
-104.545414,15,1184.087383
-101.660151,15,1187.431019
-112.406588,15,1189.985389
-102.204202,15,1192.258153
-87.522357,14,1194.430447
-105.97725,15,1198.624436
-107.059459,15,1200.596504
-109.704502,15,1202.716012
-92.882106,17,1205.330301
-107.629734,12,1209.683913
-102.506848,15,1212.771146
-95.097857,18,1215.607791
-107.624681,15,1218.716754
-101.059077,16,1220.885392
-95.532509,19,1226.065542
-113.157941,11,1228.350434
-83.716695,21,1231.286237
-88.227847,18,1234.198954
-88.735749,23,1237.045577
-91.031521,20,1240.252795
-91.278375,20,1244.116423
-113.095696,12,1245.913395
-108.399632,13,1248.237581
-95.753375,16,1250.844896
-79.759495,22,1254.991297
-92.951256,20,1257.770519
-87.076276,19,1260.496263
-107.170766,12,1262.293614
-102.11345,17,1265.828753
-94.427999,18,1268.393952
-118.827267,13,1270.786475
-104.306571,17,1274.253209
-97.796643,20,1278.289516
-102.502533,14,1280.415714
-104.029727,15,1282.432185
-89.529451,21,1285.206403
-97.373904,15,1287.122884
-108.350004,16,1289.096356
-84.688391,20,1291.857267
-108.310259,21,1294.473261
-82.91574,15,1296.624661
-89.636333,18,1300.292671
-117.923889,17,1302.433602
-133.164815,12,1306.73757
-98.821356,15,1308.822706
-85.237829,19,1311.196198
-106.475444,13,1313.675235
-114.099291,13,1315.462204
-101.487676,18,1317.652357
-103.337207,14,1319.595714
-96.861655,15,1321.568154
-104.439768,20,1324.109259
-114.018743,14,1326.046656
-104.238512,20,1328.484277
-95.850189,17,1331.315344
-87.517144,18,1333.849875
-109.444544,14,1335.848059
-106.629897,15,1337.750504
-105.198112,15,1340.100744
-96.728536,11,1341.912022
-106.457655,15,1344.196954
-102.285265,14,1346.609
-106.520767,13,1348.400965
-92.682004,18,1351.39237
-84.57425,20,1354.408098
-113.500142,10,1355.963347
-97.149366,18,1358.42489
-100.90444,14,1360.448486
-73.144714,21,1363.194196
-102.64254,16,1366.036592
-89.327845,18,1368.422553
-90.497489,19,1371.694286
-84.922151,20,1374.677891
-104.444686,18,1377.214299
-91.78677,18,1379.520637
-83.23605,17,1381.708897
-96.379333,15,1383.723055
-91.360861,17,1385.98451
-100.574918,13,1387.845024
-101.536695,17,1389.892008
-113.741161,12,1392.455573
-83.299554,21,1395.175651
-90.701904,17,1397.535078
-95.101366,17,1400.059273
-93.794713,16,1402.352892
-85.868679,19,1404.995845
-102.484364,15,1407.153568
-100.233046,14,1409.917897
-85.07615,19,1412.809891
-101.669528,16,1415.020035
-94.344795,17,1417.163515
-100.030701,15,1419.119909
-85.033131,21,1421.592561
-109.368441,14,1423.567486
-95.80445,18,1426.04269
-102.144381,14,1427.964227
-90.986506,18,1430.295796
-96.986527,15,1432.531463
-92.293578,21,1435.206937
-106.130636,15,1437.662302
-90.910002,17,1440.572032
-81.958873,19,1442.8627
-91.406768,21,1445.419847
-87.714171,19,1447.962695
-94.211159,14,1449.917939
-92.639643,16,1452.338178
-95.327685,19,1454.811207
-88.634884,21,1458.095562
-98.031413,18,1462.506374
-109.295882,16,1465.400475
-94.173115,18,1469.165768
-89.459714,19,1471.742533
-96.004017,16,1473.907928
-95.122498,15,1475.981868
-96.863256,19,1478.478658
-103.244746,15,1480.677098
-87.743317,17,1483.077694
-77.161884,19,1485.575056
-98.603362,19,1488.442014
-98.170951,19,1490.864195
-93.863081,17,1493.199696
-83.973539,20,1495.756892
-101.290254,15,1498.029285
-87.456627,20,1500.664477
-98.794027,15,1502.525862
-103.98037,12,1504.225884
-85.89428,21,1506.951872
-101.065753,17,1509.137552
-93.631225,21,1511.662344
-91.062414,19,1514.002616
-85.621591,21,1516.416717
-125.652473,13,1518.035155
-93.742562,16,1520.022096
-89.310604,19,1522.417463
-94.811993,19,1524.768673
-50.252214,18,1527.298664
-20.985564,24,1530.1674
-108.612825,12,1531.958683
-53.379555,25,1535.560506
-107.6684,13,1539.846564
-90.513352,17,1542.065324
-97.891371,13,1543.994224
-110.117011,17,1546.34548
-88.203271,19,1550.914484
-108.180427,14,1554.881124
-89.307613,15,1556.742737
-93.468441,18,1559.00775
-98.335897,21,1562.017343
-95.103428,15,1564.116074
-78.318087,21,1566.632256
-91.148248,20,1570.419329
-94.092836,19,1573.335054
-103.725338,14,1576.144563
-108.466739,15,1578.043706
-108.550052,12,1579.866997
-101.448546,17,1583.003226
-91.462156,21,1586.253452
-92.593711,19,1588.824492
-93.369251,19,1591.530998
-90.477753,17,1594.165625
-103.889443,16,1596.187929
-77.475162,21,1598.681691
-103.957468,18,1600.966776
-108.671984,13,1602.647354
-113.406597,23,1605.340103
-94.169851,15,1607.544236
-96.217158,18,1609.764978
-96.33965,15,1611.764748
-91.124198,19,1614.719659
-91.768101,18,1617.014582
-102.090106,11,1618.620616
-85.605733,19,1621.047234
-85.928098,19,1623.807441
-99.455772,15,1625.818959
-79.896802,21,1628.385639
-88.052272,15,1630.368739
-73.981798,22,1633.090086
-93.283247,18,1635.23753
-104.300988,14,1637.043697
-114.340686,17,1639.197377
-83.966938,19,1641.509072
-90.169226,19,1643.959707
-104.770656,17,1646.232537
-78.963202,22,1649.046167
-86.107164,16,1651.122584
-105.026804,15,1653.078604
-88.179244,19,1655.929273
-97.563493,10,1657.552867
-103.354254,15,1660.917136
-99.03369,17,1664.706788
-106.61555,15,1668.622907
-84.156794,19,1671.21842
-74.684298,20,1674.549789
-99.070103,19,1676.934318
-104.263734,15,1679.358476
-83.097093,22,1682.481323
-113.145158,11,1685.092205
-107.377704,18,1687.146046
